person_id,alias,normalized_alias,source,active,notes
skv-p000081,Ernst Kristiansen,ernst kristiansen,auto_result_name,true,
skv-p000082,Eskil Engdahl,eskil engdahl,auto_result_name,true,
skv-p000083,Eskild Willassen,eskild willassen,auto_result_name,true,
skv-p000084,Espen Aronsveen,espen aronsveen,auto_result_name,true,
skv-p000085,Even Lund,even lund,auto_result_name,true,
skv-p000086,Even Moa Myklebust,even moa myklebust,auto_result_name,true,
skv-p000087,Frederik Emil Juul,frederik emil juul,auto_result_name,true,
skv-p000088,Fredrik Camilo Halsbog,fredrik camilo halsbog,auto_result_name,true,
skv-p000089,Fredrik Frossdal *,fredrik frossdal,auto_result_name,true,
skv-p000090,Fredrik Killerud,fredrik killerud,auto_result_name,true,
skv-p000091,Fredrik Sætereng Fyksen,fredrik saetereng fyksen,auto_result_name,true,
skv-p000092,Gaute Olberg,gaute olberg,auto_result_name,true,
skv-p000093,Gerrard Kennedy,gerrard kennedy,auto_result_name,true,
skv-p000094,Gjermund Fluge Ulleberg,gjermund fluge ulleberg,auto_result_name,true,
skv-p000095,Gudmund Høglund,gudmund hoglund,auto_result_name,true,
skv-p000096,Haakon Bakke,haakon bakke,auto_result_name,true,
skv-p000097,Halvor Elverum,halvor elverum,auto_result_name,true,
skv-p000098,Halvor Myhrvold,halvor myhrvold,auto_result_name,true,
skv-p000099,Hanna Kristine Gunlaugsdatter Larsen,hanna kristine gunlaugsdatter larsen,auto_result_name,true,
skv-p000099,Hanna Larsen,hanna larsen,auto_result_name,true,
skv-p000100,Hanna Kristine Larsen,hanna kristine larsen,auto_result_name,true,
skv-p000101,Hannah Bjelland,hannah bjelland,auto_result_name,true,
skv-p000102,Hanne Marthe Lie,hanne marthe lie,auto_result_name,true,
skv-p000103,Hanne Tingelstad,hanne tingelstad,auto_result_name,true,
skv-p000104,Hans-Jacob Molland,hans jacob molland,auto_result_name,true,
skv-p000105,Håvard Ola Eggen,havard ola eggen,auto_result_name,true,
skv-p000106,Hege Njå Bjørkmanm,hege nja bjorkmanm,auto_result_name,true,
skv-p000107,Hege Njå Bjørkmann,hege nja bjorkmann,auto_result_name,true,
skv-p000108,Helene Huglen,helene huglen,auto_result_name,true,
skv-p000109,Henning Hellebust,henning hellebust,auto_result_name,true,
skv-p000110,Henriette Sæterdal Semb,henriette saeterdal semb,auto_result_name,true,
skv-p000111,Henriette Semb,henriette semb,auto_result_name,true,
skv-p000112,Henrik Håkonsen,henrik hakonsen,auto_result_name,true,
skv-p000113,Henrik Hansen,henrik hansen,auto_result_name,true,
skv-p000114,Henrik Samdal,henrik samdal,auto_result_name,true,
skv-p000115,Henrik Thorsø Johansen,henrik thorso johansen,auto_result_name,true,
skv-p000116,Henrik Victor Hansen,henrik victor hansen,auto_result_name,true,
skv-p000117,Henry McNulty,henry mcnulty,auto_result_name,true,
skv-p000118,Herborg Hermansen Tveit *,herborg hermansen tveit,auto_result_name,true,
skv-p000119,Herman Huuse,herman huuse,auto_result_name,true,
skv-p000120,Herman noraas Grue,herman noraas grue,auto_result_name,true,
skv-p000121,Herman Unneland,herman unneland,auto_result_name,true,
skv-p000122,Iben Kvigne,iben kvigne,auto_result_name,true,
skv-p000123,Ida Amalie Robsahm,ida amalie robsahm,auto_result_name,true,
skv-p000123,Ida Amelie Robsahm,ida amelie robsahm,manual_alias,true,
skv-p000124,Ida Christine Østreng *,ida christine ostreng,auto_result_name,true,
skv-p000125,Ida Matre,ida matre,auto_result_name,true,
skv-p000126,Ilona Mononen,ilona mononen,auto_result_name,true,
skv-p000127,Inanda Svelle,inanda svelle,auto_result_name,true,
skv-p000128,Ine Bakken,ine bakken,auto_result_name,true,
skv-p000129,Ingrid Helene Nyhus,ingrid helene nyhus,auto_result_name,true,
skv-p000130,Ingrid Løken,ingrid loken,auto_result_name,true,
skv-p000131,Ingrid Muri *,ingrid muri,auto_result_name,true,
skv-p000132,Ingrid Skomedal Klovning,ingrid skomedal klovning,auto_result_name,true,
skv-p000133,Ingunn Monsen,ingunn monsen,auto_result_name,true,
skv-p000134,Jacob Nitter,jacob nitter,auto_result_name,true,
skv-p000135,Jakob Slengesol,jakob slengesol,auto_result_name,true,
skv-p000136,Jakov Semaskevic,jakov semaskevic,auto_result_name,true,
skv-p000137,Jan Petter Mork,jan petter mork,auto_result_name,true,
skv-p000138,Jan Schneider,jan schneider,auto_result_name,true,
skv-p000139,Jan Travolta,jan travolta,auto_result_name,true,
skv-p000140,Janne Dahle,janne dahle,auto_result_name,true,
skv-p000141,Jeppe Sverdrup,jeppe sverdrup,auto_result_name,true,
skv-p000142,Jesper Horsinek,jesper horsinek,auto_result_name,true,
skv-p000143,Jessica Gunnarsson,jessica gunnarsson,auto_result_name,true,
skv-p000144,Jo Trieu Søreide,jo trieu soreide,auto_result_name,true,
skv-p000145,Joakim Mohn,joakim mohn,auto_result_name,true,
skv-p000146,Joakim Soltveit,joakim soltveit,auto_result_name,true,
skv-p000147,Johanne Laegran,johanne laegran,auto_result_name,true,
skv-p000147,Johanne Lægran,johanne laegran,manual_canonical_name,true,
skv-p000148,Johannes Nisja,johannes nisja,auto_result_name,true,
skv-p000149,Johannes Yngve,johannes yngve,auto_result_name,true,
skv-p000150,John Christian Fuller,john christian fuller,auto_result_name,true,
skv-p000151,John Fuller,john fuller,auto_result_name,true,
skv-p000152,Jon-Henrik Eskeland *,jon henrik eskeland,auto_result_name,true,
skv-p000152,Jon-Henrik Eskeland,jon henrik eskeland,manual_canonical_name,true,
skv-p000153,Jonas Njerve,jonas njerve,auto_result_name,true,
skv-p000154,Jonas Virtanen,jonas virtanen,auto_result_name,true,
skv-p000155,Jørgen Korum,jorgen korum,auto_result_name,true,
skv-p000156,Jostein Rogstad,jostein rogstad,auto_result_name,true,
skv-p000157,Julie Didriksen,julie didriksen,auto_result_name,true,
skv-p000158,Julie Lous,julie lous,auto_result_name,true,
skv-p000159,Julie Thorp,julie thorp,auto_result_name,true,
skv-p000160,June Bui,june bui,auto_result_name,true,
skv-p000161,June Kieu-Van Thi Bui,june kieu van thi bui,auto_result_name,true,
skv-p000162,Kara Meunier,kara meunier,auto_result_name,true,
skv-p000163,Karen Marie Håkonsen,karen marie hakonsen,auto_result_name,true,
skv-p000164,Kari Øen,kari oen,auto_result_name,true,
skv-p000165,Kari Renslo,kari renslo,auto_result_name,true,
skv-p000166,Kasper Sørlie-Reininger,kasper sorlie reininger,auto_result_name,true,
skv-p000167,Katarina Thraning,katarina thraning,auto_result_name,true,
skv-p000168,Katerina Hatzigiannis,katerina hatzigiannis,auto_result_name,true,
skv-p000169,Katrine Rolid,katrine rolid,auto_result_name,true,
skv-p000170,Kjersti Simensen,kjersti simensen,auto_result_name,true,
skv-p000171,Kjetil Aakvik,kjetil aakvik,auto_result_name,true,
skv-p000172,Knut Borkholm,knut borkholm,auto_result_name,true,
skv-p000173,Kristian Brenni,kristian brenni,auto_result_name,true,
skv-p000174,Kristian Frøyen,kristian froyen,auto_result_name,true,
skv-p000175,Kristian Stenerud,kristian stenerud,auto_result_name,true,
skv-p000176,Kristina M. Stang,kristina m stang,auto_result_name,true,
skv-p000177,Kristina Marcelius Hjulstad,kristina marcelius hjulstad,auto_result_name,true,
skv-p000178,Kristina Marcelius Stang,kristina marcelius stang,auto_result_name,true,
skv-p000179,Kristoffer Bugge,kristoffer bugge,auto_result_name,true,
skv-p000180,Kristoffer Eftedal,kristoffer eftedal,auto_result_name,true,
skv-p000181,Kyrre Berland,kyrre berland,auto_result_name,true,
skv-p000182,Lars Gellein Halvorsen,lars gellein halvorsen,auto_result_name,true,
skv-p000183,Lars Martin Falck,lars martin falck,auto_result_name,true,
skv-p000184,Lavrans Sverdrup,lavrans sverdrup,auto_result_name,true,
skv-p000185,Leif Ole Håvardsrud,leif ole havardsrud,auto_result_name,true,
skv-p000186,Linnéa Horn,linnea horn,auto_result_name,true,
skv-p000187,Lisbeth Pedersen,lisbeth pedersen,auto_result_name,true,
skv-p000188,Liselotte Farstad,liselotte farstad,auto_result_name,true,
skv-p000189,Liv Berit Jegteberg Lystad,liv berit jegteberg lystad,auto_result_name,true,
skv-p000190,Liv Melby,liv melby,auto_result_name,true,
skv-p000190,Liv Richter Melby,liv richter melby,manual_verified_source_name,true,
skv-p000191,Livius Sverdrup,livius sverdrup,auto_result_name,true,
skv-p000192,Liz-Helen Løchen,liz helen lochen,auto_result_name,true,
skv-p000193,Madelène Wanvik Holum,madelene wanvik holum,auto_result_name,true,
skv-p000194,Magne Eie Ledsaak,magne eie ledsaak,auto_result_name,true,
skv-p000195,Magnhild Frydenlund,magnhild frydenlund,auto_result_name,true,
skv-p000196,Magnus Nymoen Rundgren,magnus nymoen rundgren,auto_result_name,true,
skv-p000197,Magnus Warvik,magnus warvik,auto_result_name,true,
skv-p000198,Maia Gundersen,maia gundersen,auto_result_name,true,
skv-p000199,Marcus Berget,marcus berget,auto_result_name,true,
skv-p000200,Maren Mohagen *,maren mohagen,auto_result_name,true,
skv-p000200,Maren Mohagen,maren mohagen,manual_canonical_name,true,
skv-p000201,Mari Vatn,mari vatn,auto_result_name,true,
skv-p000202,Maria Bipop,maria bipop,auto_result_name,true,
skv-p000203,Maria Bipop Bang Jensen,maria bipop bang jensen,auto_result_name,true,
skv-p000204,Maria Kongsli Bondestad *,maria kongsli bondestad,auto_result_name,true,
skv-p000205,Marianne Harnes,marianne harnes,auto_result_name,true,
skv-p000206,Marianne Harnes Myhrer,marianne harnes myhrer,auto_result_name,true,
skv-p000207,Marie Abelsen Arntsen,marie abelsen arntsen,auto_result_name,true,
skv-p000208,Marie Bringsvor,marie bringsvor,auto_result_name,true,
skv-p000209,Marie Reimer,marie reimer,auto_result_name,true,
skv-p000210,Marit Nersten,marit nersten,auto_result_name,true,
skv-p000211,Marita Bergum Sandberg,marita bergum sandberg,auto_result_name,true,
skv-p000212,Marita Sandberg,marita sandberg,auto_result_name,true,
skv-p000213,Marius Borkenhagen,marius borkenhagen,auto_result_name,true,
skv-p000214,Marius Brevik,marius brevik,auto_result_name,true,
skv-p000215,Marius Stub,marius stub,auto_result_name,true,
skv-p000216,Marte Lien Johnsen,marte lien johnsen,auto_result_name,true,
skv-p000217,Marte Sønstevold,marte sonstevold,auto_result_name,true,
skv-p000218,Marthe Meese Dolmen,marthe meese dolmen,auto_result_name,true,
skv-p000219,Martin Finne,martin finne,auto_result_name,true,
skv-p000220,Martin Fredriksen,martin fredriksen,auto_result_name,true,
skv-p000221,Martin Kjäll-Ohlsson,martin kjall ohlsson,auto_result_name,true,
skv-p000222,Martin Kvam,martin kvam,auto_result_name,true,
skv-p000223,Martin Stray Egeberg,martin stray egeberg,auto_result_name,true,
skv-p000224,Mathilde Sofie Nordahl,mathilde sofie nordahl,auto_result_name,true,
skv-p000225,Matias Brekkå,matias brekka,auto_result_name,true,
skv-p000226,Matilde Belsvik,matilde belsvik,auto_result_name,true,
skv-p000227,Matilde Reinholdt Belsvik,matilde reinholdt belsvik,auto_result_name,true,
skv-p000228,Michael Eriksson,michael eriksson,auto_result_name,true,
skv-p000229,Michael Floater,michael floater,auto_result_name,true,
skv-p000230,Mikkel Trøstheim,mikkel trostheim,auto_result_name,true,
skv-p000231,Morten Dalhaug,morten dalhaug,auto_result_name,true,
skv-p000232,Morten Garvik,morten garvik,auto_result_name,true,
skv-p000233,Morten Ledum,morten ledum,auto_result_name,true,
skv-p000234,Nathalie Moen Balhald *,nathalie moen balhald,auto_result_name,true,
skv-p000235,Nicolai Borenstein,nicolai borenstein,auto_result_name,true,
skv-p000236,Nicolai Lujan Foss,nicolai lujan foss,auto_result_name,true,
skv-p000237,Nicolay Andersen,nicolay andersen,auto_result_name,true,
skv-p000238,Ninni Joløkken Brodalen,ninni jolokken brodalen,auto_result_name,true,
skv-p000239,Njål Hjelde Anderssen,njal hjelde anderssen,auto_result_name,true,
skv-p000240,Noah Johannessen,noah johannessen,auto_result_name,true,
skv-p000241,Nora Melvold,nora melvold,auto_result_name,true,
skv-p000242,Oda Laegran,oda laegran,auto_result_name,true,
skv-p000243,Øivind Larsen,oivind larsen,auto_result_name,true,
skv-p000244,Øivind Paulshus,oivind paulshus,auto_result_name,true,
skv-p000245,Ola Matre,ola matre,auto_result_name,true,
skv-p000246,Olav Strømmen,olav strommen,auto_result_name,true,
skv-p000247,Ole Anders,ole anders,auto_result_name,true,
skv-p000248,Ole Anders Stokker,ole anders stokker,auto_result_name,true,
skv-p000249,Ole-Henrik Kabbe,ole henrik kabbe,auto_result_name,true,
skv-p000250,Ole Jonas Nybø,ole jonas nybo,auto_result_name,true,
skv-p000251,Ole Jørgen Jacobsen,ole jorgen jacobsen,auto_result_name,true,
skv-p000252,Ole Jørgen Knoph,ole jorgen knoph,auto_result_name,true,
skv-p000253,Ole Kristian Gjertsen,ole kristian gjertsen,auto_result_name,true,
skv-p000254,Oscar Sperre,oscar sperre,auto_result_name,true,
skv-p000255,Øyvind Lie *,oyvind lie,auto_result_name,true,
skv-p000256,Pål Erik,pal erik,auto_result_name,true,
skv-p000257,Pål Erik Johnsen,pal erik johnsen,auto_result_name,true,
skv-p000258,Patrick Stangbye,patrick stangbye,auto_result_name,true,
skv-p000259,Pia Fjeld Møller Johansen,pia fjeld moller johansen,auto_result_name,true,
skv-p000260,Pia Møller,pia moller,auto_result_name,true,
skv-p000261,Quentin Agrinier,quentin agrinier,auto_result_name,true,
skv-p000262,Ragnhild Ertshus,ragnhild ertshus,auto_result_name,true,
skv-p000263,Ragnhild Tunaal,ragnhild tunaal,auto_result_name,true,
skv-p000264,Rebekka Haugland,rebekka haugland,auto_result_name,true,
skv-p000265,Riley McGown,riley mcgown,auto_result_name,true,
skv-p000266,Roger Thompson,roger thompson,auto_result_name,true,
skv-p000267,Róisín Long,roisin long,auto_result_name,true,
skv-p000268,Ruairi Long,ruairi long,auto_result_name,true,
skv-p000269,Runar Oesthaug,runar oesthaug,auto_result_name,true,
skv-p000270,Rune Kavlie,rune kavlie,auto_result_name,true,
skv-p000271,Rune Kvernmo,rune kvernmo,auto_result_name,true,
skv-p000272,Rune Mortensen,rune mortensen,auto_result_name,true,
skv-p000273,Said Abdullahi,said abdullahi,auto_result_name,true,
skv-p000274,Said Garaashe Abdullahi,said garaashe abdullahi,auto_result_name,true,
skv-p000275,Sander Dybwad Mathiesen,sander dybwad mathiesen,auto_result_name,true,
skv-p000276,Sara Kjeldsen Lie,sara kjeldsen lie,auto_result_name,true,
skv-p000277,Sebastian Aas,sebastian aas,auto_result_name,true,
skv-p000278,Sigrid Nestgaard Rød,sigrid nestgaard rod,auto_result_name,true,
skv-p000279,Sigrid Rød,sigrid rod,auto_result_name,true,
skv-p000280,Sigurd Skomedal Klovning,sigurd skomedal klovning,auto_result_name,true,
skv-p000281,Sigve Varslott Aalmo,sigve varslott aalmo,auto_result_name,true,
skv-p000282,Silje Solvang,silje solvang,auto_result_name,true,
skv-p000283,Simen Hagerup Kjeldsen,simen hagerup kjeldsen,auto_result_name,true,
skv-p000284,Simen Holum Andersen,simen holum andersen,auto_result_name,true,
skv-p000285,Simen Øverbø,simen overbo,auto_result_name,true,
skv-p000286,Simon Seland,simon seland,auto_result_name,true,
skv-p000287,Simon Skretting,simon skretting,auto_result_name,true,
skv-p000288,Sindre Fanneløb,sindre fannelob,auto_result_name,true,
skv-p000289,Siri Hegsvold,siri hegsvold,auto_result_name,true,
skv-p000290,Siri Holde Hegsvold,siri holde hegsvold,auto_result_name,true,
skv-p000291,Siri Schøne Ness,siri schone ness,auto_result_name,true,
skv-p000292,Sissel Hegdahl Oversand,sissel hegdahl oversand,auto_result_name,true,
skv-p000293,Sissel Oversand,sissel oversand,auto_result_name,true,
skv-p000294,Sjur Krystad Prestsæter,sjur krystad prestsaeter,auto_result_name,true,
skv-p000295,Sjur Prestsæter,sjur prestsaeter,auto_result_name,true,
skv-p000296,Sofie,sofie,auto_result_name,true,
skv-p000297,Sofie Gotuholt,sofie gotuholt,auto_result_name,true,
skv-p000298,Sofie Kjos Bergum,sofie kjos bergum,auto_result_name,true,
skv-p000299,Sofie Kolsum,sofie kolsum,auto_result_name,true,
skv-p000300,Soliana Mengistu,soliana mengistu,auto_result_name,true,
skv-p000301,Sondre Anker Solberg-Hansen,sondre anker solberg hansen,auto_result_name,true,
skv-p000302,Sondre Lomeland,sondre lomeland,auto_result_name,true,
skv-p000303,Sondre Moen,sondre moen,auto_result_name,true,
skv-p000304,Sondre Nordstad Moen,sondre nordstad moen,auto_result_name,true,
skv-p000305,Sonia Nakamura Slettvåg (11 år),sonia nakamura slettvag 11 ar,auto_result_name,true,
skv-p000306,Sonia Slettvåg,sonia slettvag,auto_result_name,true,
skv-p000307,Steffen Brufladt,steffen brufladt,auto_result_name,true,
skv-p000308,Stein Ellingsen *,stein ellingsen,auto_result_name,true,
skv-p000309,Stine Isaksen,stine isaksen,auto_result_name,true,
skv-p000310,Stine Strand Isaksen,stine strand isaksen,auto_result_name,true,
skv-p000311,Sture Simon Borgen,sture simon borgen,auto_result_name,true,
skv-p000312,Sunniva Kveim,sunniva kveim,auto_result_name,true,
skv-p000313,Sunniva Tangen Andersen,sunniva tangen andersen,auto_result_name,true,
skv-p000314,Sveinung Nersten,sveinung nersten,auto_result_name,true,
skv-p000315,Sven Thelin,sven thelin,auto_result_name,true,
skv-p000316,Sylvia Nordskar,sylvia nordskar,auto_result_name,true,
skv-p000317,Synøve Brox,synove brox,auto_result_name,true,
skv-p000318,Tale Glende *,tale glende,auto_result_name,true,
skv-p000319,Theodor Berre Jacobsen,theodor berre jacobsen,auto_result_name,true,
skv-p000320,Theodor Botten,theodor botten,auto_result_name,true,
skv-p000321,Thomas Kjellberg,thomas kjellberg,auto_result_name,true,
skv-p000322,Thomas Nordbø Berg,thomas nordbo berg,auto_result_name,true,
skv-p000323,Thomas Pedersen,thomas pedersen,auto_result_name,true,
skv-p000324,Tim Bennett,tim bennett,auto_result_name,true,
skv-p000325,Tiril Jørgensen,tiril jorgensen,auto_result_name,true,
skv-p000326,Tobias Gram-Caspersen,tobias gram caspersen,auto_result_name,true,
skv-p000327,Tone Gravvold,tone gravvold,auto_result_name,true,
skv-p000328,Tone Staum,tone staum,auto_result_name,true,
skv-p000329,Torhild Dybwad Mathiesen,torhild dybwad mathiesen,auto_result_name,true,
skv-p000330,Torill Ytterhus Haugset,torill ytterhus haugset,auto_result_name,true,
skv-p000331,Tormod Fauske Tho *,tormod fauske tho,auto_result_name,true,
skv-p000332,Trond Einar Moen Pedersli,trond einar moen pedersli,auto_result_name,true,
skv-p000333,Truls Skarvøy,truls skarvoy,auto_result_name,true,
skv-p000334,Ulrik Ødegård,ulrik odegard,auto_result_name,true,
skv-p000335,Valentin Hachet,valentin hachet,auto_result_name,true,
skv-p000336,Vebjørn Hallberg Bakkestuen,vebjorn hallberg bakkestuen,auto_result_name,true,
skv-p000337,Vegard Grut,vegard grut,auto_result_name,true,
skv-p000338,Vegard Henriksen,vegard henriksen,auto_result_name,true,
skv-p000339,Vegard Johannessen,vegard johannessen,auto_result_name,true,
skv-p000340,Vetle Elstad Kjensli,vetle elstad kjensli,auto_result_name,true,
skv-p000341,Victoria Hæstad Bjørnstad,victoria haestad bjornstad,auto_result_name,true,
skv-p000342,Vidar Stenset,vidar stenset,auto_result_name,true,
skv-p000343,Vidar Tveit Vasfaret Stenset,vidar tveit vasfaret stenset,auto_result_name,true,
skv-p000344,Vilde Antonsen,vilde antonsen,auto_result_name,true,
skv-p000345,Vilde Dille Øvreeide *,vilde dille ovreeide,auto_result_name,true,
skv-p000346,Vilde Våge Henriksen,vilde vage henriksen,auto_result_name,true,
skv-p000347,William Morken-Andersen,william morken andersen,auto_result_name,true,
skv-p000348,Yunpeng Ding,yunpeng ding,auto_result_name,true,
skv-p000080,Ernst Kristiansen,ernst kristiansen,manual_match_decision,true,
skv-p000289,Siri Holde Hegsvold,siri holde hegsvold,manual_match_decision,true,
skv-p000212,Marita Bergum Sandberg,marita bergum sandberg,manual_match_decision,true,
skv-p000295,Sjur Krystad Prestsæter,sjur krystad prestsaeter,manual_match_decision,true,
skv-p000293,Sissel Hegdahl Oversand,sissel hegdahl oversand,manual_match_decision,true,
skv-p000309,Stine Strand Isaksen,stine strand isaksen,manual_match_decision,true,
skv-p000003,Ådne Sandvik Dyrnesli,adne sandvik dyrnesli,manual_match_decision,true,
skv-p000273,Said Garaashe Abdullahi,said garaashe abdullahi,manual_match_decision,true,
skv-p000227,Matilde Belsvik,matilde belsvik,manual_match_decision,true,
skv-p000001,Ådne Andersen Andersen,adne andersen andersen,manual_match_decision,true,
skv-p000075,Erlend Fugleberg Bruaset,erlend fugleberg bruaset,manual_match_decision,true,
skv-p000099,Hanna Kristine Larsen,hanna kristine larsen,manual_match_decision,true,
skv-p000110,Henriette Semb,henriette semb,manual_match_decision,true,
skv-p000304,Sondre Moen,sondre moen,manual_match_decision,true,
skv-p000151,John Christian Fuller,john christian fuller,manual_match_decision,true,
skv-p000278,Sigrid Rød,sigrid rod,manual_match_decision,true,
skv-p000342,Vidar Tveit Vasfaret Stenset,vidar tveit vasfaret stenset,manual_match_decision,true,
skv-p000160,June Kieu-Van Thi Bui,june kieu van thi bui,manual_match_decision,true,
skv-p000178,Kristina M. Stang,kristina m stang,manual_match_decision,true,
skv-p000206,Marianne Harnes,marianne harnes,manual_match_decision,true,
skv-p000248,Ole Anders,ole anders,manual_match_decision,true,
skv-p000257,Pål Erik,pal erik,manual_match_decision,true,
skv-p000306,Sonia Nakamura Slettvåg (11 år),sonia nakamura slettvag 11 ar,manual_match_decision,true,
skv-p000202,Maria Bipop Bang Jensen,maria bipop bang jensen,manual_match_decision,true,
skv-p000260,Pia Fjeld Møller Johansen,pia fjeld moller johansen,manual_match_decision,true,
